"subgroup","endpoint","n_trt","n_ctl","events_trt","events_ctl","rate_trt","rate_ctl","ard_pct","or","or_lo","or_hi","p","nnt"
"Mg < 1.8","aki_kdigo3",338,338,2,4,0.6,1.2,-0.6,0,0,0,0,169
"Mg >= 2.0","aki_kdigo1",374,374,38,38,10.2,10.2,0,1.19,0.64,2.21,0.5743,NA
"Mg >= 2.0","aki_kdigo2",374,374,4,4,1.1,1.1,0,0.44,0.1,1.87,0.2675,NA
"Mg >= 2.0","aki_kdigo3",374,374,1,5,0.3,1.3,-1.1,0,0,0,0,94
"BMI < 25","aki_kdigo1",314,314,24,31,7.6,9.9,-2.2,1.13,0.55,2.34,0.7323,45
"BMI < 25","aki_kdigo2",314,314,2,6,0.6,1.9,-1.3,0.29,0.03,3.27,0.3161,78
"BMI < 25","aki_kdigo3",314,314,1,6,0.3,1.9,-1.6,0,0,0,0,63
"BMI 25-30","aki_kdigo1",394,394,35,53,8.9,13.5,-4.6,0.69,0.41,1.16,0.1617,22
"BMI 25-30","aki_kdigo2",394,394,5,6,1.3,1.5,-0.3,0.59,0.16,2.1,0.4112,394
"BMI 25-30","aki_kdigo3",394,394,2,4,0.5,1,-0.5,0.74,0.07,7.45,0.7993,197
"BMI >= 30","aki_kdigo1",380,380,41,33,10.8,8.7,2.1,1.74,0.97,3.12,0.063,NA
"BMI >= 30","aki_kdigo2",380,380,4,3,1.1,0.8,0.3,1.02,0.26,4.11,0.9732,NA
"BMI >= 30","aki_kdigo3",380,380,1,4,0.3,1.1,-0.8,1344898546834.89,15365556017.34,117714718506633,0,127
