"Mg Supplementation","No Supplementation","SMD","Variable","Database"
"   20 ( 8.2) ","  105 ( 9.7) "," 0.054","nephrotox_acei_arb = 1 (%)","MIMIC-IV"
"   62 (25.3) ","  274 (25.3) ","<0.001","nephrotox_ppi = 1 (%)","MIMIC-IV"
"  114 (46.5) ","  455 (42.0) "," 0.091","has_betablocker = 1 (%)","MIMIC-IV"
"   15 ( 6.1) ","  123 (11.4) "," 0.186","has_steroid = 1 (%)","MIMIC-IV"
"   18 ( 7.3) ","   90 ( 8.3) "," 0.036","preop_antiarrhythmic = 1 (%)","MIMIC-IV"
"   91 (37.1) ","  324 (29.9) "," 0.154","has_vasopressor = 1 (%)","MIMIC-IV"
" 1.94 (0.65)"," 2.21 (0.62)"," 0.418","first_mg_value (mean (SD))","MIMIC-IV"
" 3.94 (0.53)"," 4.20 (0.65)"," 0.434","first_k_value (mean (SD))","MIMIC-IV"
" 8.25 (0.72)"," 8.51 (0.77)"," 0.347","first_ca_value (mean (SD))","MIMIC-IV"
"82.87 (18.96)","85.46 (21.07)"," 0.129","first_hr (mean (SD))","MIMIC-IV"
"   66 (26.9) ","  312 (28.8) "," 0.042","aki_kdigo1 = 1 (%)","MIMIC-IV"
"   11 ( 4.5) ","   84 ( 7.8) "," 0.137","hosp_mortality = 1 (%)","MIMIC-IV"
