"or","or_lo","or_hi","p","rate_trt","rate_ctl","n","outcome","mg_strat","egfr_strat","db"
0.9716,0.8017,1.1775,0.768767,0.2182,0.2231,1210,"aki_7d","Mg>=1.8","eGFR_60-89","MIMIC"
1.7815,1.2415,2.5563,0.001725,0.2891,0.1858,339,"aki_7d","Mg>=1.8","eGFR_45-59","MIMIC"
1.4329,1.0033,2.0464,0.047932,0.3484,0.2718,287,"aki_7d","Mg>=1.8","eGFR<45","MIMIC"
0.4814,0.2548,0.9093,0.02427,0.0359,0.0718,418,"mortality","Mg<1.8","eGFR>=90","MIMIC"
1.066,0.5283,2.151,0.858387,0.053,0.0498,321,"mortality","Mg<1.8","eGFR_60-89","MIMIC"
1.6471,0.5187,5.2298,0.397277,0.0727,0.0455,110,"mortality","Mg<1.8","eGFR_45-59","MIMIC"
3.6067,1.124,11.573,0.031041,0.1368,0.0421,95,"mortality","Mg<1.8","eGFR<45","MIMIC"
0.385,0.234,0.6335,0.000172,0.0127,0.0323,1732,"mortality","Mg>=1.8","eGFR>=90","MIMIC"
0.7588,0.4878,1.1803,0.220709,0.0298,0.0388,1210,"mortality","Mg>=1.8","eGFR_60-89","MIMIC"
2.524,1.2953,4.9181,0.006523,0.0914,0.0383,339,"mortality","Mg>=1.8","eGFR_45-59","MIMIC"
3.5429,2.0208,6.2113,1e-05,0.1916,0.0627,287,"mortality","Mg>=1.8","eGFR<45","MIMIC"
0.909,0.8368,0.9875,0.023923,0.2208,0.2377,6349,"aki_48h","Overall","All","MIMIC"
0.9346,0.6962,1.2548,0.652919,0.2938,0.3081,422,"aki_48h","Mg<1.6","All","MIMIC"
0.6219,0.4583,0.8439,0.002291,0.167,0.2438,521,"aki_48h","Mg_1.6-1.8","All","MIMIC"
0.6801,0.5504,0.8405,0.000358,0.1721,0.234,1081,"aki_48h","Mg_1.8-2.0","All","MIMIC"
0.8073,0.6535,0.9973,0.047164,0.1651,0.1967,1169,"aki_48h","Mg_2.0-2.3","All","MIMIC"
1.181,0.9604,1.4522,0.114833,0.1753,0.1525,1318,"aki_48h","Mg>=2.3","All","MIMIC"
0.5285,0.3748,0.7454,0.000278,0.1555,0.2584,418,"aki_48h","Mg<1.8","eGFR>=90","MIMIC"
0.8111,0.5618,1.1711,0.263964,0.2156,0.2531,320,"aki_48h","Mg<1.8","eGFR_60-89","MIMIC"
1.0419,0.5928,1.8311,0.886664,0.3364,0.3273,110,"aki_48h","Mg<1.8","eGFR_45-59","MIMIC"
1.4318,0.792,2.5885,0.234771,0.4211,0.3368,95,"aki_48h","Mg<1.8","eGFR<45","MIMIC"
0.5689,0.4722,0.6854,0,0.1224,0.1969,1732,"aki_48h","Mg>=1.8","eGFR>=90","MIMIC"
0.9677,0.7881,1.1881,0.753605,0.1826,0.1876,1210,"aki_48h","Mg>=1.8","eGFR_60-89","MIMIC"
1.8104,1.2407,2.6415,0.002077,0.2596,0.1622,339,"aki_48h","Mg>=1.8","eGFR_45-59","MIMIC"
1.6653,1.1409,2.4308,0.008214,0.3101,0.2125,287,"aki_48h","Mg>=1.8","eGFR<45","MIMIC"
0.7146,0.4387,1.164,0.177007,0.2135,0.2753,178,"aki_48h","Mg<1.6","eGFR>=90","MIMIC"
0.7831,0.4811,1.2745,0.325083,0.2625,0.3125,160,"aki_48h","Mg<1.6","eGFR_60-89","MIMIC"
1.3316,0.5588,3.1728,0.517992,0.5238,0.4524,42,"aki_48h","Mg<1.6","eGFR_45-59","MIMIC"
2.75,1.1029,6.8569,0.029997,0.5238,0.2857,42,"aki_48h","Mg<1.6","eGFR<45","MIMIC"
0.4511,0.3458,0.5884,0,0.1225,0.2364,808,"aki_48h","Mg_1.6-2.0","eGFR>=90","MIMIC"
0.7348,0.5283,1.0219,0.067058,0.1621,0.2084,475,"aki_48h","Mg_1.6-2.0","eGFR_60-89","MIMIC"
0.8674,0.5133,1.4659,0.595209,0.2061,0.2303,165,"aki_48h","Mg_1.6-2.0","eGFR_45-59","MIMIC"
1.358,0.8531,2.1617,0.19702,0.4091,0.3377,154,"aki_48h","Mg_1.6-2.0","eGFR<45","MIMIC"
0.6247,0.4956,0.7875,6.9e-05,0.1203,0.1796,1164,"aki_48h","Mg>=2.0","eGFR>=90","MIMIC"
1.0933,0.8607,1.3887,0.464846,0.1911,0.1777,895,"aki_48h","Mg>=2.0","eGFR_60-89","MIMIC"
2.44,1.5427,3.8593,0.000137,0.2851,0.1405,242,"aki_48h","Mg>=2.0","eGFR_45-59","MIMIC"
1.6775,0.9951,2.828,0.052211,0.2366,0.1559,186,"aki_48h","Mg>=2.0","eGFR<45","MIMIC"
0.8783,0.5612,1.3747,0.570324,0.3034,0.3315,178,"aki_7d","Mg<1.6","eGFR>=90","MIMIC"
0.9723,0.6102,1.5494,0.905972,0.3312,0.3375,160,"aki_7d","Mg<1.6","eGFR_60-89","MIMIC"
1.1005,0.4619,2.6222,0.828882,0.5476,0.5238,42,"aki_7d","Mg<1.6","eGFR_45-59","MIMIC"
2.1667,0.8959,5.24,0.086161,0.5714,0.381,42,"aki_7d","Mg<1.6","eGFR<45","MIMIC"
0.5076,0.3983,0.647,0,0.1621,0.276,808,"aki_7d","Mg_1.6-2.0","eGFR>=90","MIMIC"
0.8253,0.6087,1.119,0.216337,0.2105,0.2442,475,"aki_7d","Mg_1.6-2.0","eGFR_60-89","MIMIC"
0.8228,0.4981,1.3592,0.446377,0.2303,0.2667,165,"aki_7d","Mg_1.6-2.0","eGFR_45-59","MIMIC"
1.3125,0.8291,2.0778,0.245953,0.4286,0.3636,154,"aki_7d","Mg_1.6-2.0","eGFR<45","MIMIC"
0.648,0.5238,0.8016,6.4e-05,0.1512,0.2156,1164,"aki_7d","Mg>=2.0","eGFR>=90","MIMIC"
1.0539,0.8419,1.3193,0.647113,0.2223,0.2134,895,"aki_7d","Mg>=2.0","eGFR_60-89","MIMIC"
2.3567,1.5258,3.6401,0.000111,0.3182,0.1653,242,"aki_7d","Mg>=2.0","eGFR_45-59","MIMIC"
1.2905,0.8074,2.0627,0.286449,0.2796,0.2312,186,"aki_7d","Mg>=2.0","eGFR<45","MIMIC"
0.4183,0.1765,0.9913,0.047714,0.0449,0.1011,178,"mortality","Mg<1.6","eGFR>=90","MIMIC"
0.8223,0.3438,1.9665,0.66007,0.0621,0.0745,161,"mortality","Mg<1.6","eGFR_60-89","MIMIC"
1.5385,0.2383,9.9335,0.650768,0.0714,0.0476,42,"mortality","Mg<1.6","eGFR_45-59","MIMIC"
6.8333,0.7647,61.0625,0.085449,0.1429,0.0238,42,"mortality","Mg<1.6","eGFR<45","MIMIC"
0.5427,0.2923,1.0075,0.052827,0.0198,0.0359,808,"mortality","Mg_1.6-2.0","eGFR>=90","MIMIC"
1.0648,0.5311,2.1349,0.859532,0.0358,0.0337,475,"mortality","Mg_1.6-2.0","eGFR_60-89","MIMIC"
1.7703,0.677,4.6292,0.244174,0.0727,0.0424,165,"mortality","Mg_1.6-2.0","eGFR_45-59","MIMIC"
3.8947,1.5212,9.9714,0.004587,0.1364,0.039,154,"mortality","Mg_1.6-2.0","eGFR<45","MIMIC"
0.3258,0.1729,0.6138,0.000519,0.0112,0.0335,1164,"mortality","Mg>=2.0","eGFR>=90","MIMIC"
0.7352,0.4386,1.2322,0.242941,0.0291,0.0391,895,"mortality","Mg>=2.0","eGFR_60-89","MIMIC"
2.8502,1.2939,6.278,0.009333,0.0992,0.0372,242,"mortality","Mg>=2.0","eGFR_45-59","MIMIC"
3.2234,1.7113,6.0717,0.000291,0.2204,0.0806,186,"mortality","Mg>=2.0","eGFR<45","MIMIC"
