"or","or_lo","or_hi","p","rate_trt","rate_ctl","n","events_trt","events_ctl","outcome","stratum","db"
1.5053,0.422,5.3688,0.528441,0.0105,0.007,573,6,4,"AKI_48h_Stage3+","eGFR_45-59","MIMIC"
4.0792,0.8571,19.4143,0.077351,0.0257,0.0064,311,8,2,"AKI_48h_Stage3+","eGFR_30-44","MIMIC"
20.6842,2.6975,158.602,0.003559,0.1364,0.0076,132,18,1,"AKI_48h_Stage3+","eGFR<30","MIMIC"
0.9588,0.7932,1.159,0.66342,0.0342,0.0356,6352,217,226,"hosp_mortality","Overall","MIMIC"
0.3527,0.248,0.5017,0,0.0134,0.037,3220,43,119,"hosp_mortality","eGFR>=90","MIMIC"
0.9366,0.6569,1.3355,0.717623,0.0289,0.0308,2113,61,65,"hosp_mortality","eGFR_60-89","MIMIC"
2.2431,1.3018,3.8652,0.003616,0.0749,0.0348,574,43,20,"hosp_mortality","eGFR_45-59","MIMIC"
3.3626,1.7166,6.587,0.000408,0.1182,0.0383,313,37,12,"hosp_mortality","eGFR_30-44","MIMIC"
4.0667,1.9048,8.6821,0.000289,0.25,0.0758,132,33,10,"hosp_mortality","eGFR<30","MIMIC"
1.1626,1.0054,1.3444,0.042136,0.0656,0.057,6352,417,362,"vent_arrhythmia","Overall","MIMIC"
0.9282,0.7459,1.1549,0.503848,0.0509,0.0547,3220,164,176,"vent_arrhythmia","eGFR>=90","MIMIC"
1.357,1.0457,1.761,0.021686,0.0663,0.0497,2113,140,105,"vent_arrhythmia","eGFR_60-89","MIMIC"
1.5895,1.0569,2.3906,0.026022,0.1115,0.0732,574,64,42,"vent_arrhythmia","eGFR_45-59","MIMIC"
1.301,0.7577,2.2337,0.340094,0.1054,0.0831,313,33,26,"vent_arrhythmia","eGFR_30-44","MIMIC"
1.2626,0.5798,2.7494,0.557018,0.1212,0.0985,132,16,13,"vent_arrhythmia","eGFR<30","MIMIC"
1.3974,1.2785,1.5275,0,0.2177,0.1661,6352,1383,1055,"poaf","Overall","MIMIC"
1.0879,0.9622,1.2299,0.178604,0.2043,0.191,3220,658,615,"poaf","eGFR>=90","MIMIC"
1.7709,1.519,2.0645,0,0.2475,0.1566,2113,523,331,"poaf","eGFR_60-89","MIMIC"
2.3156,1.6752,3.201,0,0.2282,0.1132,574,131,65,"poaf","eGFR_45-59","MIMIC"
1.9552,1.2273,3.1147,0.004768,0.1821,0.1022,313,57,32,"poaf","eGFR_30-44","MIMIC"
1.1864,0.5252,2.6802,0.680951,0.1061,0.0909,132,14,12,"poaf","eGFR<30","MIMIC"
