Database,Subgroup,Outcome,n_trt,n_ctl,Estimate,P,Rate_trt,Rate_ctl,RD
MIMIC-IV,eGFR >= 60,Mortality,5338,5150,1.06,0.6907,1.9%,1.8%,+0.1%
MIMIC-IV,eGFR >= 60,POAF,5338,5150,1.07,0.1204,27.5%,26.2%,+1.3%
MIMIC-IV,eGFR >= 60,Vent arrhythmia,5338,5150,1.22,0.0229*,5.8%,4.8%,+1.0%
MIMIC-IV,Mg < 1.8,ΔCr 48h,1038,324,+0.0381,0.1831,,,
MIMIC-IV,Mg < 1.8,48h AKI,1185,356,0.76,0.0501,21.2%,26.1%,-4.9%
MIMIC-IV,Mg < 1.8,7d AKI,1185,356,0.80,0.0836,26.5%,31.2%,-4.7%
MIMIC-IV,Mg < 1.8,Mortality,1185,356,0.75,0.1924,6.9%,9.0%,-2.1%
MIMIC-IV,Mg < 1.8,POAF,1185,356,0.98,0.8740,17.9%,18.3%,-0.4%
MIMIC-IV,Mg < 1.8,Vent arrhythmia,1185,356,0.78,0.2816,6.0%,7.6%,-1.6%
MIMIC-IV,Mg >= 1.8,ΔCr 48h,3041,5323,-0.0581,0.0000*,,,
MIMIC-IV,Mg >= 1.8,48h AKI,3324,5975,0.64,0.0000*,17.1%,24.4%,-7.3%
MIMIC-IV,Mg >= 1.8,7d AKI,3324,5975,0.64,0.0000*,20.4%,28.7%,-8.3%
MIMIC-IV,Mg >= 1.8,Mortality,3324,5975,0.81,0.0668,3.5%,4.2%,-0.8%
MIMIC-IV,Mg >= 1.8,POAF,3324,5975,1.10,0.0536,29.0%,27.1%,+1.9%
MIMIC-IV,Mg >= 1.8,Vent arrhythmia,3324,5975,1.25,0.0095*,7.4%,6.0%,+1.4%
MIMIC-IV,CABG,ΔCr 48h,1167,1123,+0.0063,0.6198,,,
MIMIC-IV,CABG,48h AKI,1325,1276,1.01,0.9538,22.0%,21.9%,+0.1%
MIMIC-IV,CABG,7d AKI,1325,1276,0.94,0.5129,25.1%,26.3%,-1.1%
MIMIC-IV,CABG,Mortality,1325,1276,0.96,0.9231,1.0%,1.0%,-0.0%
MIMIC-IV,CABG,POAF,1325,1276,1.39,0.0004*,26.2%,20.3%,+5.9%
MIMIC-IV,CABG,Vent arrhythmia,1325,1276,2.00,0.0018*,4.8%,2.4%,+2.3%
MIMIC-IV,Non-CABG,ΔCr 48h,4568,4541,-0.0056,0.4788,,,
MIMIC-IV,Non-CABG,48h AKI,5029,5078,0.85,0.0004*,22.1%,25.1%,-3.0%
MIMIC-IV,Non-CABG,7d AKI,5029,5078,0.85,0.0004*,26.2%,29.4%,-3.2%
MIMIC-IV,Non-CABG,Mortality,5029,5078,0.74,0.0018*,4.0%,5.4%,-1.3%
MIMIC-IV,Non-CABG,POAF,5029,5078,0.99,0.8030,27.9%,28.1%,-0.2%
MIMIC-IV,Non-CABG,Vent arrhythmia,5029,5078,1.00,0.9853,7.1%,7.1%,+0.0%
MIMIC-IV,Diabetes,ΔCr 48h,1854,1836,-0.0257,0.0475*,,,
MIMIC-IV,Diabetes,48h AKI,2021,2019,0.89,0.0940,26.3%,28.7%,-2.4%
MIMIC-IV,Diabetes,7d AKI,2021,2019,0.88,0.0650,30.4%,33.1%,-2.7%
MIMIC-IV,Diabetes,Mortality,2021,2019,0.64,0.0053*,3.4%,5.2%,-1.8%
MIMIC-IV,Diabetes,POAF,2021,2019,1.01,0.9273,24.8%,24.7%,+0.1%
MIMIC-IV,Diabetes,Vent arrhythmia,2021,2019,0.84,0.1814,6.1%,7.1%,-1.0%
MIMIC-IV,No diabetes,ΔCr 48h,3881,3828,+0.0077,0.3378,,,
MIMIC-IV,No diabetes,48h AKI,4333,4335,0.87,0.0066*,20.1%,22.5%,-2.4%
MIMIC-IV,No diabetes,7d AKI,4333,4335,0.86,0.0027*,24.0%,26.8%,-2.8%
MIMIC-IV,No diabetes,Mortality,4333,4335,0.81,0.0647,3.4%,4.2%,-0.8%
MIMIC-IV,No diabetes,POAF,4333,4335,1.07,0.1480,28.8%,27.4%,+1.4%
MIMIC-IV,No diabetes,Vent arrhythmia,4333,4335,1.22,0.0266*,6.9%,5.7%,+1.2%
MIMIC-IV,CKD,ΔCr 48h,831,841,-0.0230,0.3862,,,
MIMIC-IV,CKD,48h AKI,892,898,0.71,0.0005*,36.9%,45.0%,-8.1%
MIMIC-IV,CKD,7d AKI,892,898,0.71,0.0004*,40.4%,48.7%,-8.3%
MIMIC-IV,CKD,Mortality,892,898,0.78,0.1536,7.2%,9.0%,-1.8%
MIMIC-IV,CKD,POAF,892,898,0.90,0.3189,28.4%,30.5%,-2.1%
MIMIC-IV,CKD,Vent arrhythmia,892,898,1.01,0.9648,8.9%,8.8%,+0.1%
MIMIC-IV,No CKD,ΔCr 48h,4904,4823,+0.0009,0.8940,,,
MIMIC-IV,No CKD,48h AKI,5462,5456,0.92,0.0665,19.6%,21.1%,-1.4%
MIMIC-IV,No CKD,7d AKI,5462,5456,0.91,0.0256*,23.7%,25.5%,-1.8%
MIMIC-IV,No CKD,Mortality,5462,5456,0.74,0.0051*,2.8%,3.7%,-1.0%
MIMIC-IV,No CKD,POAF,5462,5456,1.08,0.0746,27.4%,25.9%,+1.5%
MIMIC-IV,No CKD,Vent arrhythmia,5462,5456,1.10,0.2479,6.2%,5.7%,+0.5%
MIMIC-IV,Heart failure,ΔCr 48h,1770,1975,+0.0080,0.5766,,,
MIMIC-IV,Heart failure,48h AKI,1912,2145,0.90,0.1516,26.2%,28.2%,-2.0%
MIMIC-IV,Heart failure,7d AKI,1912,2145,0.92,0.2246,31.6%,33.4%,-1.8%
MIMIC-IV,Heart failure,Mortality,1912,2145,0.68,0.0016*,5.9%,8.4%,-2.6%
MIMIC-IV,Heart failure,POAF,1912,2145,1.10,0.1845,29.9%,28.0%,+1.9%
MIMIC-IV,Heart failure,Vent arrhythmia,1912,2145,1.11,0.2974,12.3%,11.2%,+1.1%
MIMIC-IV,No HF,ΔCr 48h,3965,3689,-0.0080,0.2805,,,
MIMIC-IV,No HF,48h AKI,4442,4209,0.88,0.0111*,20.3%,22.5%,-2.2%
MIMIC-IV,No HF,7d AKI,4442,4209,0.86,0.0024*,23.6%,26.4%,-2.8%
MIMIC-IV,No HF,Mortality,4442,4209,0.95,0.6941,2.3%,2.5%,-0.1%
MIMIC-IV,No HF,POAF,4442,4209,1.04,0.4497,26.6%,25.8%,+0.7%
MIMIC-IV,No HF,Vent arrhythmia,4442,4209,1.18,0.1480,4.2%,3.6%,+0.6%
MIMIC-IV,BMI >= 30,ΔCr 48h,1809,1649,+0.0006,0.9655,,,
MIMIC-IV,BMI >= 30,48h AKI,1978,1840,0.89,0.1166,23.3%,25.5%,-2.2%
MIMIC-IV,BMI >= 30,7d AKI,1978,1840,0.89,0.1121,27.4%,29.7%,-2.3%
MIMIC-IV,BMI >= 30,Mortality,1978,1840,0.97,0.8858,3.3%,3.4%,-0.1%
MIMIC-IV,BMI >= 30,POAF,1978,1840,1.18,0.0234*,29.8%,26.5%,+3.3%
MIMIC-IV,BMI >= 30,Vent arrhythmia,1978,1840,0.97,0.8139,6.1%,6.2%,-0.2%
MIMIC-IV,BMI < 30,ΔCr 48h,3444,3396,-0.0066,0.4352,,,
MIMIC-IV,BMI < 30,48h AKI,3817,3785,0.84,0.0011*,22.5%,25.7%,-3.2%
MIMIC-IV,BMI < 30,7d AKI,3817,3785,0.84,0.0008*,26.2%,29.6%,-3.4%
MIMIC-IV,BMI < 30,Mortality,3817,3785,0.79,0.0585,3.0%,3.8%,-0.8%
MIMIC-IV,BMI < 30,POAF,3817,3785,0.98,0.7602,27.8%,28.1%,-0.3%
MIMIC-IV,BMI < 30,Vent arrhythmia,3817,3785,1.23,0.0316*,6.4%,5.3%,+1.2%
MIMIC-IV,DM + CKD,ΔCr 48h,406,431,-0.0666,0.0874,,,
MIMIC-IV,DM + CKD,48h AKI,426,458,0.83,0.1748,41.3%,45.9%,-4.5%
MIMIC-IV,DM + CKD,7d AKI,426,458,0.84,0.1948,43.9%,48.3%,-4.4%
MIMIC-IV,DM + CKD,Mortality,426,458,1.08,0.7677,7.3%,6.8%,+0.5%
MIMIC-IV,DM + CKD,POAF,426,458,0.93,0.6499,27.2%,28.6%,-1.4%
MIMIC-IV,DM + CKD,Vent arrhythmia,426,458,1.15,0.5691,9.2%,8.1%,+1.1%
MIMIC-IV,HF + CABG,ΔCr 48h,230,223,+0.0066,0.8778,,,
MIMIC-IV,HF + CABG,48h AKI,250,237,0.86,0.4330,29.2%,32.5%,-3.3%
MIMIC-IV,HF + CABG,7d AKI,250,237,0.95,0.7927,36.4%,37.6%,-1.2%
MIMIC-IV,HF + CABG,Mortality,250,237,1.34,0.6252,2.8%,2.1%,+0.7%
MIMIC-IV,HF + CABG,POAF,250,237,2.20,0.0003*,32.8%,18.1%,+14.7%
MIMIC-IV,HF + CABG,Vent arrhythmia,250,237,1.77,0.1006,10.0%,5.9%,+4.1%
MIMIC-IV,Mg<1.8 + CKD,ΔCr 48h,173,38,+0.1851,0.1683,,,
MIMIC-IV,Mg<1.8 + CKD,48h AKI,193,42,0.91,0.7978,38.3%,40.5%,-2.1%
MIMIC-IV,Mg<1.8 + CKD,7d AKI,193,42,1.06,0.8595,42.0%,40.5%,+1.5%
MIMIC-IV,Mg<1.8 + CKD,Mortality,193,42,0.58,0.2222,11.9%,19.0%,-7.1%
MIMIC-IV,Mg<1.8 + CKD,POAF,193,42,0.52,0.0830,20.7%,33.3%,-12.6%
MIMIC-IV,Mg<1.8 + CKD,Vent arrhythmia,193,42,0.67,0.4612,8.3%,11.9%,-3.6%
eICU-CRD,Overall,ΔCr 48h,2767,3391,-0.0262,0.0438*,,,
eICU-CRD,Overall,48h AKI,4834,4834,0.65,0.0000*,9.6%,14.0%,-4.4%
eICU-CRD,Overall,7d AKI,4834,4834,0.66,0.0000*,11.9%,17.1%,-5.2%
eICU-CRD,Overall,Mortality,4834,4834,0.88,0.0824,7.4%,8.3%,-1.0%
eICU-CRD,Overall,POAF,4834,4834,0.40,0.0000*,2.2%,5.3%,-3.1%
eICU-CRD,Overall,Vent arrhythmia,4834,4834,1.08,0.4892,3.9%,3.7%,+0.3%
eICU-CRD,Age < 65,ΔCr 48h,1225,1455,+0.0104,0.6117,,,
eICU-CRD,Age < 65,48h AKI,2103,2160,0.74,0.0037*,8.4%,11.1%,-2.6%
eICU-CRD,Age < 65,7d AKI,2103,2160,0.71,0.0002*,10.8%,14.6%,-3.8%
eICU-CRD,Age < 65,Mortality,2103,2160,0.82,0.1222,5.7%,6.8%,-1.1%
eICU-CRD,Age < 65,POAF,2103,2160,0.32,0.0000*,1.3%,3.9%,-2.6%
eICU-CRD,Age < 65,Vent arrhythmia,2103,2160,1.19,0.2854,3.9%,3.3%,+0.6%
eICU-CRD,Age >= 65,ΔCr 48h,1542,1936,-0.0538,0.0012*,,,
eICU-CRD,Age >= 65,48h AKI,2731,2674,0.60,0.0000*,10.5%,16.4%,-5.9%
eICU-CRD,Age >= 65,7d AKI,2731,2674,0.62,0.0000*,12.8%,19.1%,-6.3%
eICU-CRD,Age >= 65,Mortality,2731,2674,0.90,0.2735,8.7%,9.6%,-0.9%
eICU-CRD,Age >= 65,POAF,2731,2674,0.44,0.0000*,2.9%,6.5%,-3.5%
eICU-CRD,Age >= 65,Vent arrhythmia,2731,2674,1.00,0.9868,3.9%,3.9%,-0.0%
eICU-CRD,eGFR < 60,ΔCr 48h,826,1116,-0.0652,0.0598,,,
eICU-CRD,eGFR < 60,48h AKI,1411,1459,0.68,0.0000*,16.3%,22.3%,-6.0%
eICU-CRD,eGFR < 60,7d AKI,1411,1459,0.65,0.0000*,18.5%,25.8%,-7.3%
eICU-CRD,eGFR < 60,Mortality,1411,1459,1.03,0.7587,14.2%,13.8%,+0.4%
eICU-CRD,eGFR < 60,POAF,1411,1459,0.48,0.0001*,3.4%,6.8%,-3.4%
eICU-CRD,eGFR < 60,Vent arrhythmia,1411,1459,1.12,0.4797,5.8%,5.2%,+0.6%
eICU-CRD,eGFR >= 60,ΔCr 48h,1941,2275,-0.0116,0.2648,,,
eICU-CRD,eGFR >= 60,48h AKI,3391,3375,0.64,0.0000*,6.9%,10.4%,-3.5%
eICU-CRD,eGFR >= 60,7d AKI,3391,3375,0.67,0.0000*,9.3%,13.3%,-4.0%
eICU-CRD,eGFR >= 60,Mortality,3391,3375,0.75,0.0080*,4.5%,6.0%,-1.4%
eICU-CRD,eGFR >= 60,POAF,3391,3375,0.36,0.0000*,1.7%,4.7%,-2.9%
eICU-CRD,eGFR >= 60,Vent arrhythmia,3391,3375,1.06,0.6981,3.2%,3.0%,+0.2%
eICU-CRD,Mg < 1.8,ΔCr 48h,1181,501,+0.0210,0.3969,,,
eICU-CRD,Mg < 1.8,48h AKI,1788,668,0.68,0.0045*,10.5%,14.7%,-4.2%
eICU-CRD,Mg < 1.8,7d AKI,1788,668,0.66,0.0005*,13.6%,19.3%,-5.7%
eICU-CRD,Mg < 1.8,Mortality,1788,668,0.80,0.1506,8.1%,9.9%,-1.8%
eICU-CRD,Mg < 1.8,POAF,1788,668,0.45,0.0018*,2.0%,4.3%,-2.3%
eICU-CRD,Mg < 1.8,Vent arrhythmia,1788,668,1.03,0.8935,3.9%,3.7%,+0.1%
eICU-CRD,Mg >= 1.8,ΔCr 48h,1399,2510,-0.0231,0.1899,,,
eICU-CRD,Mg >= 1.8,48h AKI,1972,3436,0.80,0.0094*,12.3%,14.8%,-2.5%
eICU-CRD,Mg >= 1.8,7d AKI,1972,3436,0.77,0.0008*,14.6%,18.1%,-3.5%
eICU-CRD,Mg >= 1.8,Mortality,1972,3436,0.78,0.0184*,7.2%,9.0%,-1.8%
eICU-CRD,Mg >= 1.8,POAF,1972,3436,0.36,0.0000*,2.2%,6.0%,-3.8%
eICU-CRD,Mg >= 1.8,Vent arrhythmia,1972,3436,0.71,0.0265*,3.1%,4.3%,-1.2%
eICU-CRD,CABG,ΔCr 48h,553,759,-0.0245,0.2030,,,
eICU-CRD,CABG,48h AKI,997,1065,0.51,0.0000*,9.6%,17.3%,-7.6%
eICU-CRD,CABG,7d AKI,997,1065,0.50,0.0000*,10.9%,19.7%,-8.8%
eICU-CRD,CABG,Mortality,997,1065,1.50,0.3284,1.4%,0.9%,+0.5%
eICU-CRD,CABG,POAF,997,1065,0.20,0.0000*,1.1%,5.3%,-4.2%
eICU-CRD,CABG,Vent arrhythmia,997,1065,0.71,0.4030,1.0%,1.4%,-0.4%
eICU-CRD,Non-CABG,ΔCr 48h,2214,2632,-0.0243,0.1200,,,
eICU-CRD,Non-CABG,48h AKI,3837,3769,0.71,0.0000*,9.6%,13.1%,-3.5%
eICU-CRD,Non-CABG,7d AKI,3837,3769,0.71,0.0000*,12.2%,16.4%,-4.2%
eICU-CRD,Non-CABG,Mortality,3837,3769,0.84,0.0284*,8.9%,10.4%,-1.5%
eICU-CRD,Non-CABG,POAF,3837,3769,0.46,0.0000*,2.5%,5.3%,-2.8%
eICU-CRD,Non-CABG,Vent arrhythmia,3837,3769,1.10,0.4085,4.7%,4.3%,+0.4%
eICU-CRD,Diabetes,ΔCr 48h,806,1103,-0.0456,0.0736,,,
eICU-CRD,Diabetes,48h AKI,1406,1548,0.70,0.0006*,12.5%,17.1%,-4.5%
eICU-CRD,Diabetes,7d AKI,1406,1548,0.71,0.0004*,15.0%,20.0%,-5.0%
eICU-CRD,Diabetes,Mortality,1406,1548,1.06,0.6791,8.0%,7.6%,+0.4%
eICU-CRD,Diabetes,POAF,1406,1548,0.51,0.0016*,2.3%,4.5%,-2.2%
eICU-CRD,Diabetes,Vent arrhythmia,1406,1548,1.13,0.5398,4.0%,3.6%,+0.4%
eICU-CRD,No diabetes,ΔCr 48h,1961,2288,-0.0174,0.2468,,,
eICU-CRD,No diabetes,48h AKI,3428,3286,0.64,0.0000*,8.4%,12.6%,-4.2%
eICU-CRD,No diabetes,7d AKI,3428,3286,0.64,0.0000*,10.7%,15.8%,-5.1%
eICU-CRD,No diabetes,Mortality,3428,3286,0.81,0.0183*,7.1%,8.7%,-1.6%
eICU-CRD,No diabetes,POAF,3428,3286,0.37,0.0000*,2.2%,5.7%,-3.5%
eICU-CRD,No diabetes,Vent arrhythmia,3428,3286,1.06,0.6747,3.9%,3.7%,+0.2%
eICU-CRD,CKD,ΔCr 48h,29,37,+0.1237,0.4407,,,
eICU-CRD,CKD,48h AKI,48,45,0.53,0.4144,6.2%,11.1%,-4.9%
eICU-CRD,CKD,7d AKI,48,45,0.50,0.2248,12.5%,22.2%,-9.7%
eICU-CRD,CKD,Mortality,48,45,0.23,0.0386*,6.2%,22.2%,-16.0%
eICU-CRD,CKD,POAF,48,45,0.93,0.9480,4.2%,4.4%,-0.3%
eICU-CRD,CKD,Vent arrhythmia,48,45,0.93,0.9480,4.2%,4.4%,-0.3%
eICU-CRD,No CKD,ΔCr 48h,2738,3354,-0.0279,0.0321*,,,
eICU-CRD,No CKD,48h AKI,4786,4789,0.65,0.0000*,9.7%,14.1%,-4.4%
eICU-CRD,No CKD,7d AKI,4786,4789,0.66,0.0000*,11.9%,17.1%,-5.1%
eICU-CRD,No CKD,Mortality,4786,4789,0.89,0.1398,7.4%,8.2%,-0.8%
eICU-CRD,No CKD,POAF,4786,4789,0.40,0.0000*,2.2%,5.3%,-3.1%
eICU-CRD,No CKD,Vent arrhythmia,4786,4789,1.08,0.4830,3.9%,3.7%,+0.3%
eICU-CRD,Heart failure,ΔCr 48h,487,624,-0.0357,0.2645,,,
eICU-CRD,Heart failure,48h AKI,786,844,0.64,0.0021*,11.1%,16.4%,-5.3%
eICU-CRD,Heart failure,7d AKI,786,844,0.67,0.0036*,13.5%,18.8%,-5.4%
eICU-CRD,Heart failure,Mortality,786,844,0.82,0.2440,9.2%,10.9%,-1.7%
eICU-CRD,Heart failure,POAF,786,844,0.63,0.0554,3.6%,5.6%,-2.0%
eICU-CRD,Heart failure,Vent arrhythmia,786,844,1.20,0.4323,5.2%,4.4%,+0.8%
eICU-CRD,No HF,ΔCr 48h,2280,2767,-0.0245,0.0845,,,
eICU-CRD,No HF,48h AKI,4048,3990,0.66,0.0000*,9.3%,13.5%,-4.2%
eICU-CRD,No HF,7d AKI,4048,3990,0.65,0.0000*,11.6%,16.7%,-5.1%
eICU-CRD,No HF,Mortality,4048,3990,0.90,0.1973,7.0%,7.8%,-0.8%
eICU-CRD,No HF,POAF,4048,3990,0.36,0.0000*,2.0%,5.3%,-3.3%
eICU-CRD,No HF,Vent arrhythmia,4048,3990,1.05,0.6787,3.7%,3.5%,+0.2%
eICU-CRD,BMI >= 30,ΔCr 48h,1029,1310,-0.0344,0.1229,,,
eICU-CRD,BMI >= 30,48h AKI,1739,1852,0.73,0.0018*,11.6%,15.1%,-3.6%
eICU-CRD,BMI >= 30,7d AKI,1739,1852,0.69,0.0000*,14.0%,19.1%,-5.1%
eICU-CRD,BMI >= 30,Mortality,1739,1852,0.95,0.6747,7.2%,7.6%,-0.4%
eICU-CRD,BMI >= 30,POAF,1739,1852,0.49,0.0001*,2.5%,5.1%,-2.5%
eICU-CRD,BMI >= 30,Vent arrhythmia,1739,1852,1.13,0.4694,4.0%,3.6%,+0.5%
eICU-CRD,BMI < 30,ΔCr 48h,1697,2020,-0.0202,0.2115,,,
eICU-CRD,BMI < 30,48h AKI,2935,2895,0.61,0.0000*,8.7%,13.4%,-4.7%
eICU-CRD,BMI < 30,7d AKI,2935,2895,0.66,0.0000*,11.0%,15.9%,-4.8%
eICU-CRD,BMI < 30,Mortality,2935,2895,0.85,0.0992,7.4%,8.6%,-1.2%
eICU-CRD,BMI < 30,POAF,2935,2895,0.33,0.0000*,1.9%,5.6%,-3.7%
eICU-CRD,BMI < 30,Vent arrhythmia,2935,2895,1.01,0.9201,3.9%,3.8%,+0.1%
eICU-CRD,DM + CKD,ΔCr 48h,20,14,—,—,,,
eICU-CRD,DM + CKD,48h AKI,20,14,—,—,,,
eICU-CRD,DM + CKD,7d AKI,20,14,—,—,,,
eICU-CRD,DM + CKD,Mortality,20,14,—,—,,,
eICU-CRD,DM + CKD,POAF,20,14,—,—,,,
eICU-CRD,DM + CKD,Vent arrhythmia,20,14,—,—,,,
eICU-CRD,HF + CABG,ΔCr 48h,55,70,-0.1017,0.1112,,,
eICU-CRD,HF + CABG,48h AKI,94,108,0.31,0.0071*,8.5%,23.1%,-14.6%
eICU-CRD,HF + CABG,7d AKI,94,108,0.35,0.0129*,9.6%,23.1%,-13.6%
eICU-CRD,HF + CABG,Mortality,94,108,3.53,0.2810,3.2%,0.9%,+2.3%
eICU-CRD,HF + CABG,POAF,94,108,0.37,0.2322,2.1%,5.6%,-3.4%
eICU-CRD,HF + CABG,Vent arrhythmia,94,108,76578070.23,0.0000*,3.2%,0.0%,+3.2%
eICU-CRD,Mg<1.8 + CKD,ΔCr 48h,21,8,—,—,,,
eICU-CRD,Mg<1.8 + CKD,48h AKI,21,8,—,—,,,
eICU-CRD,Mg<1.8 + CKD,7d AKI,21,8,—,—,,,
eICU-CRD,Mg<1.8 + CKD,Mortality,21,8,—,—,,,
eICU-CRD,Mg<1.8 + CKD,POAF,21,8,—,—,,,
eICU-CRD,Mg<1.8 + CKD,Vent arrhythmia,21,8,—,—,,,
